fold,fpr,tpr,auc
1,0.0,0.0,0.6875
1,0.1111111111111111,0.0,0.6875
1,0.1111111111111111,0.5,0.6875
1,0.2222222222222222,0.5,0.6875
1,0.2222222222222222,0.625,0.6875
1,0.5555555555555556,0.625,0.6875
1,0.5555555555555556,0.75,0.6875
1,0.6666666666666666,0.875,0.6875
1,0.6666666666666666,1.0,0.6875
1,1.0,1.0,0.6875
2,0.0,0.0,0.5416666666666667
2,0.0,0.125,0.5416666666666667
2,0.1111111111111111,0.125,0.5416666666666667
2,0.1111111111111111,0.25,0.5416666666666667
2,0.2222222222222222,0.25,0.5416666666666667
2,0.2222222222222222,0.375,0.5416666666666667
2,0.3333333333333333,0.375,0.5416666666666667
2,0.3333333333333333,0.5,0.5416666666666667
2,0.4444444444444444,0.5,0.5416666666666667
2,0.4444444444444444,0.625,0.5416666666666667
2,0.6666666666666666,0.625,0.5416666666666667
2,0.7777777777777778,0.625,0.5416666666666667
2,0.7777777777777778,0.875,0.5416666666666667
2,1.0,0.875,0.5416666666666667
2,1.0,1.0,0.5416666666666667
3,0.0,0.0,0.859375
3,0.0,0.125,0.859375
3,0.0,0.5,0.859375
3,0.25,0.5,0.859375
3,0.25,0.875,0.859375
3,0.375,0.875,0.859375
3,0.375,1.0,0.859375
3,1.0,1.0,0.859375
4,0.0,0.0,0.78125
4,0.0,0.125,0.78125
4,0.0,0.625,0.78125
4,0.375,0.625,0.78125
4,0.375,0.875,0.78125
4,1.0,0.875,0.78125
4,1.0,1.0,0.78125
5,0.0,0.0,0.6349206349206349
5,0.0,0.14285714285714285,0.6349206349206349
5,0.0,0.2857142857142857,0.6349206349206349
5,0.1111111111111111,0.2857142857142857,0.6349206349206349
5,0.1111111111111111,0.42857142857142855,0.6349206349206349
5,0.2222222222222222,0.42857142857142855,0.6349206349206349
5,0.2222222222222222,0.5714285714285714,0.6349206349206349
5,0.4444444444444444,0.7142857142857143,0.6349206349206349
5,0.8888888888888888,0.7142857142857143,0.6349206349206349
5,0.8888888888888888,0.8571428571428571,0.6349206349206349
5,1.0,0.8571428571428571,0.6349206349206349
5,1.0,1.0,0.6349206349206349
