fold,fpr,tpr,auc
1,0.0,0.0,0.43055555555555564
1,0.1111111111111111,0.0,0.43055555555555564
1,0.1111111111111111,0.25,0.43055555555555564
1,0.2222222222222222,0.25,0.43055555555555564
1,0.2222222222222222,0.375,0.43055555555555564
1,0.3333333333333333,0.375,0.43055555555555564
1,0.3333333333333333,0.5,0.43055555555555564
1,0.8888888888888888,0.5,0.43055555555555564
1,0.8888888888888888,0.75,0.43055555555555564
1,1.0,0.75,0.43055555555555564
1,1.0,1.0,0.43055555555555564
2,0.0,0.0,0.7083333333333334
2,0.0,0.125,0.7083333333333334
2,0.0,0.25,0.7083333333333334
2,0.2222222222222222,0.25,0.7083333333333334
2,0.2222222222222222,0.75,0.7083333333333334
2,0.6666666666666666,0.75,0.7083333333333334
2,0.6666666666666666,0.875,0.7083333333333334
2,0.7777777777777778,0.875,0.7083333333333334
2,0.7777777777777778,1.0,0.7083333333333334
2,1.0,1.0,0.7083333333333334
3,0.0,0.0,0.671875
3,0.0,0.125,0.671875
3,0.0,0.375,0.671875
3,0.125,0.375,0.671875
3,0.125,0.625,0.671875
3,0.625,0.625,0.671875
3,0.625,0.75,0.671875
3,0.75,0.75,0.671875
3,0.75,0.875,0.671875
3,1.0,0.875,0.671875
3,1.0,1.0,0.671875
4,0.0,0.0,0.46875
4,0.125,0.0,0.46875
4,0.125,0.125,0.46875
4,0.25,0.125,0.46875
4,0.25,0.5,0.46875
4,0.625,0.5,0.46875
4,0.625,0.625,0.46875
4,0.75,0.625,0.46875
4,0.75,0.75,0.46875
4,1.0,0.75,0.46875
4,1.0,1.0,0.46875
5,0.0,0.0,0.7698412698412699
5,0.1111111111111111,0.42857142857142855,0.7698412698412699
5,0.1111111111111111,0.5714285714285714,0.7698412698412699
5,0.2222222222222222,0.5714285714285714,0.7698412698412699
5,0.2222222222222222,0.7142857142857143,0.7698412698412699
5,0.5555555555555556,0.7142857142857143,0.7698412698412699
5,0.5555555555555556,1.0,0.7698412698412699
5,1.0,1.0,0.7698412698412699
