fold,fpr,tpr,auc
1,0.0,0.0,0.7083333333333333
1,0.0,0.125,0.7083333333333333
1,0.0,0.625,0.7083333333333333
1,0.5555555555555556,0.625,0.7083333333333333
1,0.5555555555555556,0.75,0.7083333333333333
1,0.7777777777777778,0.75,0.7083333333333333
1,0.7777777777777778,0.875,0.7083333333333333
1,1.0,0.875,0.7083333333333333
1,1.0,1.0,0.7083333333333333
2,0.0,0.0,0.6527777777777778
2,0.0,0.125,0.6527777777777778
2,0.0,0.375,0.6527777777777778
2,0.1111111111111111,0.375,0.6527777777777778
2,0.1111111111111111,0.5,0.6527777777777778
2,0.3333333333333333,0.5,0.6527777777777778
2,0.3333333333333333,0.625,0.6527777777777778
2,0.7777777777777778,0.625,0.6527777777777778
2,0.7777777777777778,1.0,0.6527777777777778
2,1.0,1.0,0.6527777777777778
3,0.0,0.0,0.78125
3,0.0,0.125,0.78125
3,0.0,0.5,0.78125
3,0.125,0.5,0.78125
3,0.125,0.75,0.78125
3,0.5,0.75,0.78125
3,0.5,0.875,0.78125
3,1.0,0.875,0.78125
3,1.0,1.0,0.78125
4,0.0,0.0,0.828125
4,0.0,0.125,0.828125
4,0.0,0.625,0.828125
4,0.125,0.625,0.828125
4,0.125,0.75,0.828125
4,0.375,0.75,0.828125
4,0.375,0.875,0.828125
4,0.875,0.875,0.828125
4,0.875,1.0,0.828125
4,1.0,1.0,0.828125
5,0.0,0.0,0.7936507936507936
5,0.0,0.14285714285714285,0.7936507936507936
5,0.0,0.7142857142857143,0.7936507936507936
5,0.4444444444444444,0.7142857142857143,0.7936507936507936
5,0.4444444444444444,0.8571428571428571,0.7936507936507936
5,1.0,0.8571428571428571,0.7936507936507936
5,1.0,1.0,0.7936507936507936
