fold,fpr,tpr,auc
1,0.0,0.0,0.6111111111111112
1,0.0,0.125,0.6111111111111112
1,0.1111111111111111,0.125,0.6111111111111112
1,0.1111111111111111,0.25,0.6111111111111112
1,0.2222222222222222,0.25,0.6111111111111112
1,0.2222222222222222,0.625,0.6111111111111112
1,0.4444444444444444,0.625,0.6111111111111112
1,0.4444444444444444,0.75,0.6111111111111112
1,0.8888888888888888,0.75,0.6111111111111112
1,0.8888888888888888,0.875,0.6111111111111112
1,1.0,0.875,0.6111111111111112
1,1.0,1.0,0.6111111111111112
2,0.0,0.0,0.5625
2,0.1111111111111111,0.0,0.5625
2,0.2222222222222222,0.0,0.5625
2,0.2222222222222222,0.375,0.5625
2,0.3333333333333333,0.375,0.5625
2,0.3333333333333333,0.5,0.5625
2,0.4444444444444444,0.5,0.5625
2,0.4444444444444444,0.75,0.5625
2,0.5555555555555556,0.75,0.5625
2,0.6666666666666666,0.875,0.5625
2,1.0,0.875,0.5625
2,1.0,1.0,0.5625
3,0.0,0.0,0.6875
3,0.0,0.125,0.6875
3,0.0,0.5,0.6875
3,0.25,0.5,0.6875
3,0.25,0.625,0.6875
3,0.375,0.625,0.6875
3,0.375,0.75,0.6875
3,0.875,0.75,0.6875
3,0.875,0.875,0.6875
3,1.0,0.875,0.6875
3,1.0,1.0,0.6875
4,0.0,0.0,0.53125
4,0.0,0.125,0.53125
4,0.0,0.25,0.53125
4,0.125,0.25,0.53125
4,0.125,0.375,0.53125
4,0.625,0.375,0.53125
4,0.625,0.625,0.53125
4,0.75,0.625,0.53125
4,0.75,0.875,0.53125
4,0.875,0.875,0.53125
4,0.875,1.0,0.53125
4,1.0,1.0,0.53125
5,0.0,0.0,0.6031746031746031
5,0.0,0.14285714285714285,0.6031746031746031
5,0.2222222222222222,0.14285714285714285,0.6031746031746031
5,0.2222222222222222,0.2857142857142857,0.6031746031746031
5,0.3333333333333333,0.2857142857142857,0.6031746031746031
5,0.3333333333333333,0.5714285714285714,0.6031746031746031
5,0.5555555555555556,0.5714285714285714,0.6031746031746031
5,0.5555555555555556,0.8571428571428571,0.6031746031746031
5,0.7777777777777778,0.8571428571428571,0.6031746031746031
5,0.7777777777777778,1.0,0.6031746031746031
5,1.0,1.0,0.6031746031746031
