predictor
age_at_ct
sex
tobacco_use
alcohol_use
financial_resource_strain
food_insecurity
transportation_needs
physical_activity
stress
social_connections
intimate_partner_violence
depression
housing_stability
utilities
health_literacy
full_ct_shape_Elongation
full_ct_shape_Flatness
full_ct_shape_LeastAxisLength
full_ct_shape_MajorAxisLength
full_ct_shape_Maximum2DDiameterColumn
full_ct_shape_Maximum2DDiameterRow
full_ct_shape_Maximum2DDiameterSlice
full_ct_shape_Maximum3DDiameter
full_ct_shape_MeshVolume
full_ct_shape_MinorAxisLength
full_ct_shape_Sphericity
full_ct_shape_SurfaceArea
full_ct_shape_SurfaceVolumeRatio
full_ct_shape_VoxelVolume
full_ct_firstorder_10Percentile
full_ct_firstorder_90Percentile
full_ct_firstorder_Energy
full_ct_firstorder_Entropy
full_ct_firstorder_InterquartileRange
full_ct_firstorder_Kurtosis
full_ct_firstorder_Maximum
full_ct_firstorder_MeanAbsoluteDeviation
full_ct_firstorder_Mean
full_ct_firstorder_Median
full_ct_firstorder_Minimum
full_ct_firstorder_Range
full_ct_firstorder_RobustMeanAbsoluteDeviation
full_ct_firstorder_RootMeanSquared
full_ct_firstorder_Skewness
full_ct_firstorder_TotalEnergy
full_ct_firstorder_Uniformity
full_ct_firstorder_Variance
full_ct_glcm_Autocorrelation
full_ct_glcm_ClusterProminence
full_ct_glcm_ClusterShade
full_ct_glcm_ClusterTendency
full_ct_glcm_Contrast
full_ct_glcm_Correlation
full_ct_glcm_DifferenceAverage
full_ct_glcm_DifferenceEntropy
full_ct_glcm_DifferenceVariance
full_ct_glcm_Id
full_ct_glcm_Idm
full_ct_glcm_Idmn
full_ct_glcm_Idn
full_ct_glcm_Imc1
full_ct_glcm_Imc2
full_ct_glcm_InverseVariance
full_ct_glcm_JointAverage
full_ct_glcm_JointEnergy
full_ct_glcm_JointEntropy
full_ct_glcm_MCC
full_ct_glcm_MaximumProbability
full_ct_glcm_SumAverage
full_ct_glcm_SumEntropy
full_ct_glcm_SumSquares
full_ct_gldm_DependenceEntropy
full_ct_gldm_DependenceNonUniformity
full_ct_gldm_DependenceNonUniformityNormalized
full_ct_gldm_DependenceVariance
full_ct_gldm_GrayLevelNonUniformity
full_ct_gldm_GrayLevelVariance
full_ct_gldm_HighGrayLevelEmphasis
full_ct_gldm_LargeDependenceEmphasis
full_ct_gldm_LargeDependenceHighGrayLevelEmphasis
full_ct_gldm_LargeDependenceLowGrayLevelEmphasis
full_ct_gldm_LowGrayLevelEmphasis
full_ct_gldm_SmallDependenceEmphasis
full_ct_gldm_SmallDependenceHighGrayLevelEmphasis
full_ct_gldm_SmallDependenceLowGrayLevelEmphasis
full_ct_glrlm_GrayLevelNonUniformity
full_ct_glrlm_GrayLevelNonUniformityNormalized
