fold,fpr,tpr,auc
1,0.0,0.0,0.45833333333333337
1,0.0,0.125,0.45833333333333337
1,0.1111111111111111,0.125,0.45833333333333337
1,0.1111111111111111,0.25,0.45833333333333337
1,0.2222222222222222,0.25,0.45833333333333337
1,0.2222222222222222,0.375,0.45833333333333337
1,0.4444444444444444,0.375,0.45833333333333337
1,0.4444444444444444,0.5,0.45833333333333337
1,0.5555555555555556,0.5,0.45833333333333337
1,0.5555555555555556,0.625,0.45833333333333337
1,1.0,0.625,0.45833333333333337
1,1.0,1.0,0.45833333333333337
2,0.0,0.0,0.75
2,0.0,0.125,0.75
2,0.0,0.25,0.75
2,0.2222222222222222,0.25,0.75
2,0.2222222222222222,0.875,0.75
2,0.7777777777777778,0.875,0.75
2,1.0,1.0,0.75
3,0.0,0.0,0.578125
3,0.0,0.125,0.578125
3,0.0,0.375,0.578125
3,0.5,0.375,0.578125
3,0.5,0.75,0.578125
3,0.875,0.75,0.578125
3,0.875,0.875,0.578125
3,1.0,0.875,0.578125
3,1.0,1.0,0.578125
4,0.0,0.0,0.359375
4,0.125,0.0,0.359375
4,0.125,0.25,0.359375
4,0.375,0.25,0.359375
4,0.375,0.375,0.359375
4,0.75,0.375,0.359375
4,0.75,0.5,0.359375
4,0.875,0.5,0.359375
4,0.875,0.75,0.359375
4,1.0,0.75,0.359375
4,1.0,1.0,0.359375
5,0.0,0.0,0.6031746031746033
5,0.0,0.42857142857142855,0.6031746031746033
5,0.3333333333333333,0.42857142857142855,0.6031746031746033
5,0.3333333333333333,0.5714285714285714,0.6031746031746033
5,0.6666666666666666,0.5714285714285714,0.6031746031746033
5,0.6666666666666666,0.7142857142857143,0.6031746031746033
5,0.8888888888888888,0.7142857142857143,0.6031746031746033
5,0.8888888888888888,1.0,0.6031746031746033
5,1.0,1.0,0.6031746031746033
