fold,fpr,tpr,auc
1,0.0,0.0,0.5833333333333333
1,0.0,0.125,0.5833333333333333
1,0.1111111111111111,0.125,0.5833333333333333
1,0.1111111111111111,0.375,0.5833333333333333
1,0.3333333333333333,0.375,0.5833333333333333
1,0.3333333333333333,0.5,0.5833333333333333
1,0.4444444444444444,0.5,0.5833333333333333
1,0.4444444444444444,0.625,0.5833333333333333
1,0.5555555555555556,0.625,0.5833333333333333
1,0.5555555555555556,0.75,0.5833333333333333
1,0.7777777777777778,0.75,0.5833333333333333
1,0.7777777777777778,0.875,0.5833333333333333
1,1.0,0.875,0.5833333333333333
1,1.0,1.0,0.5833333333333333
2,0.0,0.0,0.6944444444444444
2,0.0,0.125,0.6944444444444444
2,0.0,0.25,0.6944444444444444
2,0.2222222222222222,0.25,0.6944444444444444
2,0.2222222222222222,0.625,0.6944444444444444
2,0.4444444444444444,0.625,0.6944444444444444
2,0.4444444444444444,0.75,0.6944444444444444
2,0.5555555555555556,0.75,0.6944444444444444
2,0.5555555555555556,0.875,0.6944444444444444
2,0.7777777777777778,0.875,0.6944444444444444
2,0.7777777777777778,1.0,0.6944444444444444
2,1.0,1.0,0.6944444444444444
3,0.0,0.0,0.640625
3,0.0,0.125,0.640625
3,0.0,0.5,0.640625
3,0.25,0.5,0.640625
3,0.25,0.625,0.640625
3,0.875,0.625,0.640625
3,0.875,1.0,0.640625
3,1.0,1.0,0.640625
4,0.0,0.0,0.9375
4,0.0,0.25,0.9375
4,0.0,0.375,0.9375
4,0.0,0.625,0.9375
4,0.125,0.625,0.9375
4,0.125,0.875,0.9375
4,0.25,0.875,0.9375
4,0.25,1.0,0.9375
4,1.0,1.0,0.9375
5,0.0,0.0,0.5793650793650793
5,0.0,0.14285714285714285,0.5793650793650793
5,0.0,0.42857142857142855,0.5793650793650793
5,0.3333333333333333,0.42857142857142855,0.5793650793650793
5,0.3333333333333333,0.5714285714285714,0.5793650793650793
5,0.5555555555555556,0.5714285714285714,0.5793650793650793
5,0.6666666666666666,0.7142857142857143,0.5793650793650793
5,1.0,0.7142857142857143,0.5793650793650793
5,1.0,1.0,0.5793650793650793
