fold,fpr,tpr,auc
1,0.0,0.0,0.638888888888889
1,0.1111111111111111,0.0,0.638888888888889
1,0.2222222222222222,0.0,0.638888888888889
1,0.2222222222222222,0.625,0.638888888888889
1,0.3333333333333333,0.625,0.638888888888889
1,0.3333333333333333,0.75,0.638888888888889
1,0.4444444444444444,0.75,0.638888888888889
1,0.4444444444444444,0.875,0.638888888888889
1,1.0,0.875,0.638888888888889
1,1.0,1.0,0.638888888888889
2,0.0,0.0,0.4861111111111111
2,0.0,0.125,0.4861111111111111
2,0.1111111111111111,0.125,0.4861111111111111
2,0.1111111111111111,0.25,0.4861111111111111
2,0.4444444444444444,0.25,0.4861111111111111
2,0.4444444444444444,0.5,0.4861111111111111
2,0.5555555555555556,0.5,0.4861111111111111
2,0.5555555555555556,0.625,0.4861111111111111
2,0.6666666666666666,0.625,0.4861111111111111
2,0.6666666666666666,0.75,0.4861111111111111
2,0.8888888888888888,0.75,0.4861111111111111
2,0.8888888888888888,0.875,0.4861111111111111
2,1.0,0.875,0.4861111111111111
2,1.0,1.0,0.4861111111111111
3,0.0,0.0,0.703125
3,0.0,0.125,0.703125
3,0.0,0.25,0.703125
3,0.25,0.25,0.703125
3,0.25,0.75,0.703125
3,0.375,0.75,0.703125
3,0.375,0.875,0.703125
3,1.0,0.875,0.703125
3,1.0,1.0,0.703125
4,0.0,0.0,0.53125
4,0.0,0.125,0.53125
4,0.0,0.375,0.53125
4,0.125,0.375,0.53125
4,0.125,0.5,0.53125
4,0.75,0.5,0.53125
4,0.75,0.625,0.53125
4,0.875,0.625,0.53125
4,0.875,0.75,0.53125
4,1.0,0.75,0.53125
4,1.0,1.0,0.53125
5,0.0,0.0,0.5079365079365079
5,0.0,0.14285714285714285,0.5079365079365079
5,0.3333333333333333,0.14285714285714285,0.5079365079365079
5,0.3333333333333333,0.5714285714285714,0.5079365079365079
5,0.7777777777777778,0.5714285714285714,0.5079365079365079
5,0.7777777777777778,0.8571428571428571,0.5079365079365079
5,0.8888888888888888,0.8571428571428571,0.5079365079365079
5,0.8888888888888888,1.0,0.5079365079365079
5,1.0,1.0,0.5079365079365079
