fold,fpr,tpr,auc
1,0.0,0.0,0.6527777777777778
1,0.3333333333333333,0.75,0.6527777777777778
1,0.5555555555555556,0.75,0.6527777777777778
1,0.6666666666666666,0.75,0.6527777777777778
1,0.8888888888888888,0.75,0.6527777777777778
1,0.8888888888888888,1.0,0.6527777777777778
1,1.0,1.0,0.6527777777777778
2,0.0,0.0,0.6388888888888888
2,0.0,0.125,0.6388888888888888
2,0.0,0.25,0.6388888888888888
2,0.1111111111111111,0.25,0.6388888888888888
2,0.1111111111111111,0.5,0.6388888888888888
2,0.4444444444444444,0.5,0.6388888888888888
2,0.4444444444444444,0.625,0.6388888888888888
2,0.5555555555555556,0.625,0.6388888888888888
2,0.5555555555555556,0.75,0.6388888888888888
2,0.6666666666666666,0.75,0.6388888888888888
2,0.6666666666666666,0.875,0.6388888888888888
2,1.0,0.875,0.6388888888888888
2,1.0,1.0,0.6388888888888888
3,0.0,0.0,0.671875
3,0.0,0.125,0.671875
3,0.0,0.5,0.671875
3,0.125,0.5,0.671875
3,0.125,0.625,0.671875
3,0.75,0.625,0.671875
3,0.75,0.875,0.671875
3,1.0,0.875,0.671875
3,1.0,1.0,0.671875
4,0.0,0.0,0.859375
4,0.0,0.125,0.859375
4,0.0,0.5,0.859375
4,0.125,0.5,0.859375
4,0.125,0.625,0.859375
4,0.25,0.625,0.859375
4,0.25,0.75,0.859375
4,0.375,0.75,0.859375
4,0.375,1.0,0.859375
4,1.0,1.0,0.859375
5,0.0,0.0,0.5079365079365079
5,0.0,0.14285714285714285,0.5079365079365079
5,0.0,0.2857142857142857,0.5079365079365079
5,0.2222222222222222,0.2857142857142857,0.5079365079365079
5,0.2222222222222222,0.42857142857142855,0.5079365079365079
5,0.6666666666666666,0.42857142857142855,0.5079365079365079
5,0.6666666666666666,0.7142857142857143,0.5079365079365079
5,0.8888888888888888,0.7142857142857143,0.5079365079365079
5,0.8888888888888888,0.8571428571428571,0.5079365079365079
5,1.0,0.8571428571428571,0.5079365079365079
5,1.0,1.0,0.5079365079365079
