fold,fpr,tpr,auc
1,0.0,0.0,0.8888888888888888
1,0.0,0.125,0.8888888888888888
1,0.0,0.375,0.8888888888888888
1,0.1111111111111111,0.375,0.8888888888888888
1,0.1111111111111111,0.875,0.8888888888888888
1,0.4444444444444444,0.875,0.8888888888888888
1,0.4444444444444444,1.0,0.8888888888888888
1,1.0,1.0,0.8888888888888888
2,0.0,0.0,0.625
2,0.0,0.125,0.625
2,0.2222222222222222,0.125,0.625
2,0.2222222222222222,0.25,0.625
2,0.3333333333333333,0.25,0.625
2,0.3333333333333333,0.625,0.625
2,0.4444444444444444,0.625,0.625
2,0.4444444444444444,0.75,0.625
2,0.5555555555555556,0.75,0.625
2,0.5555555555555556,0.875,0.625
2,0.7777777777777778,0.875,0.625
2,0.7777777777777778,1.0,0.625
2,1.0,1.0,0.625
3,0.0,0.0,0.8203125
3,0.125,0.25,0.8203125
3,0.125,0.625,0.8203125
3,0.25,0.75,0.8203125
3,0.25,0.875,0.8203125
3,0.5,0.875,0.8203125
3,0.5,1.0,0.8203125
3,1.0,1.0,0.8203125
4,0.0,0.0,0.703125
4,0.0,0.125,0.703125
4,0.0,0.625,0.703125
4,0.25,0.625,0.703125
4,0.5,0.625,0.703125
4,0.625,0.625,0.703125
4,0.625,0.75,0.703125
4,0.875,0.875,0.703125
4,1.0,0.875,0.703125
4,1.0,1.0,0.703125
5,0.0,0.0,0.523809523809524
5,0.0,0.14285714285714285,0.523809523809524
5,0.3333333333333333,0.14285714285714285,0.523809523809524
5,0.3333333333333333,0.7142857142857143,0.523809523809524
5,1.0,0.7142857142857143,0.523809523809524
5,1.0,1.0,0.523809523809524
