fold,fpr,tpr,auc
1,0.0,0.0,0.9444444444444444
1,0.0,0.125,0.9444444444444444
1,0.0,0.875,0.9444444444444444
1,0.4444444444444444,0.875,0.9444444444444444
1,0.4444444444444444,1.0,0.9444444444444444
1,1.0,1.0,0.9444444444444444
2,0.0,0.0,0.4444444444444444
2,0.0,0.125,0.4444444444444444
2,0.0,0.25,0.4444444444444444
2,0.5555555555555556,0.25,0.4444444444444444
2,0.5555555555555556,0.375,0.4444444444444444
2,0.6666666666666666,0.375,0.4444444444444444
2,0.6666666666666666,0.5,0.4444444444444444
2,0.7777777777777778,0.5,0.4444444444444444
2,0.7777777777777778,0.875,0.4444444444444444
2,0.8888888888888888,0.875,0.4444444444444444
2,0.8888888888888888,1.0,0.4444444444444444
2,1.0,1.0,0.4444444444444444
3,0.0,0.0,0.4375
3,0.0,0.125,0.4375
3,0.125,0.125,0.4375
3,0.125,0.25,0.4375
3,0.375,0.25,0.4375
3,0.375,0.375,0.4375
3,0.75,0.375,0.4375
3,0.75,0.875,0.4375
3,1.0,0.875,0.4375
3,1.0,1.0,0.4375
4,0.0,0.0,0.46875
4,0.0,0.125,0.46875
4,0.25,0.125,0.46875
4,0.25,0.375,0.46875
4,0.375,0.375,0.46875
4,0.375,0.5,0.46875
4,0.75,0.5,0.46875
4,0.75,0.75,0.46875
4,0.875,0.75,0.46875
4,0.875,0.875,0.46875
4,1.0,0.875,0.46875
4,1.0,1.0,0.46875
5,0.0,0.0,0.5238095238095238
5,0.0,0.14285714285714285,0.5238095238095238
5,0.0,0.2857142857142857,0.5238095238095238
5,0.2222222222222222,0.2857142857142857,0.5238095238095238
5,0.2222222222222222,0.42857142857142855,0.5238095238095238
5,0.3333333333333333,0.42857142857142855,0.5238095238095238
5,0.3333333333333333,0.5714285714285714,0.5238095238095238
5,0.8888888888888888,0.5714285714285714,0.5238095238095238
5,0.8888888888888888,0.8571428571428571,0.5238095238095238
5,1.0,0.8571428571428571,0.5238095238095238
5,1.0,1.0,0.5238095238095238
