fold,fpr,tpr,auc
1,0.0,0.0,0.625
1,0.0,0.125,0.625
1,0.0,0.375,0.625
1,0.2222222222222222,0.375,0.625
1,0.4444444444444444,0.375,0.625
1,0.4444444444444444,0.75,0.625
1,0.6666666666666666,0.75,0.625
1,0.6666666666666666,0.875,0.625
1,0.8888888888888888,0.875,0.625
1,1.0,0.875,0.625
1,1.0,1.0,0.625
2,0.0,0.0,0.4236111111111111
2,0.1111111111111111,0.0,0.4236111111111111
2,0.1111111111111111,0.375,0.4236111111111111
2,0.3333333333333333,0.375,0.4236111111111111
2,0.4444444444444444,0.5,0.4236111111111111
2,0.8888888888888888,0.5,0.4236111111111111
2,0.8888888888888888,0.625,0.4236111111111111
2,1.0,0.625,0.4236111111111111
2,1.0,1.0,0.4236111111111111
3,0.0,0.0,0.40625
3,0.0,0.125,0.40625
3,0.0,0.25,0.40625
3,0.625,0.25,0.40625
3,0.625,0.5,0.40625
3,0.875,0.5,0.40625
3,0.875,1.0,0.40625
3,1.0,1.0,0.40625
4,0.0,0.0,0.828125
4,0.0,0.125,0.828125
4,0.125,0.125,0.828125
4,0.125,0.75,0.828125
4,0.25,0.75,0.828125
4,0.5,1.0,0.828125
4,0.75,1.0,0.828125
4,1.0,1.0,0.828125
5,0.0,0.0,0.7857142857142857
5,0.0,0.14285714285714285,0.7857142857142857
5,0.0,0.42857142857142855,0.7857142857142857
5,0.1111111111111111,0.42857142857142855,0.7857142857142857
5,0.1111111111111111,0.5714285714285714,0.7857142857142857
5,0.2222222222222222,0.7142857142857143,0.7857142857142857
5,0.5555555555555556,0.7142857142857143,0.7857142857142857
5,0.5555555555555556,0.8571428571428571,0.7857142857142857
5,0.6666666666666666,0.8571428571428571,0.7857142857142857
5,0.6666666666666666,1.0,0.7857142857142857
5,0.8888888888888888,1.0,0.7857142857142857
5,1.0,1.0,0.7857142857142857
