fold,fpr,tpr,auc
1,0.0,0.0,0.625
1,0.0,0.125,0.625
1,0.0,0.375,0.625
1,0.1111111111111111,0.375,0.625
1,0.1111111111111111,0.5,0.625
1,0.4444444444444444,0.5,0.625
1,0.4444444444444444,0.625,0.625
1,0.7777777777777778,0.625,0.625
1,0.7777777777777778,0.875,0.625
1,0.8888888888888888,0.875,0.625
1,0.8888888888888888,1.0,0.625
1,1.0,1.0,0.625
2,0.0,0.0,0.6944444444444444
2,0.0,0.125,0.6944444444444444
2,0.0,0.5,0.6944444444444444
2,0.3333333333333333,0.5,0.6944444444444444
2,0.3333333333333333,0.625,0.6944444444444444
2,0.4444444444444444,0.625,0.6944444444444444
2,0.4444444444444444,0.75,0.6944444444444444
2,0.6666666666666666,0.75,0.6944444444444444
2,0.6666666666666666,0.875,0.6944444444444444
2,1.0,0.875,0.6944444444444444
2,1.0,1.0,0.6944444444444444
3,0.0,0.0,0.625
3,0.0,0.125,0.625
3,0.125,0.125,0.625
3,0.125,0.25,0.625
3,0.25,0.25,0.625
3,0.25,0.625,0.625
3,0.375,0.625,0.625
3,0.375,0.75,0.625
3,0.875,0.75,0.625
3,0.875,1.0,0.625
3,1.0,1.0,0.625
4,0.0,0.0,0.78125
4,0.0,0.125,0.78125
4,0.0,0.625,0.78125
4,0.125,0.625,0.78125
4,0.125,0.75,0.78125
4,0.75,0.75,0.78125
4,0.75,0.875,0.78125
4,0.875,0.875,0.78125
4,0.875,1.0,0.78125
4,1.0,1.0,0.78125
5,0.0,0.0,0.17460317460317462
5,0.1111111111111111,0.0,0.17460317460317462
5,0.4444444444444444,0.0,0.17460317460317462
5,0.4444444444444444,0.2857142857142857,0.17460317460317462
5,0.8888888888888888,0.2857142857142857,0.17460317460317462
5,0.8888888888888888,0.42857142857142855,0.17460317460317462
5,1.0,0.42857142857142855,0.17460317460317462
5,1.0,1.0,0.17460317460317462
