model,seeds,n_seeds,nested_mean_acc_mean,nested_mean_acc_ci,holdout_acc_mean,holdout_acc_ci,holdout_auc_mean,holdout_auc_ci,holdout_precision_mean,holdout_precision_ci,holdout_recall_mean,holdout_recall_ci,holdout_specificity_mean,holdout_specificity_ci,holdout_f1_mean,holdout_f1_ci
lr,"[1292, 4337, 5590, 3348, 3930, 2253, 2400, 7705, 6993, 7322]",10,0.6538235294117648,0.0247789236196367,0.7058823529411764,0.045472613234804865,0.7194444444444444,0.05097659432253473,0.7148809523809524,0.05467866286623609,0.625,0.06325872798805447,0.7777777777777777,0.04591158676985202,0.6648809523809524,0.055266296965211216
rf,"[1292, 4337, 5590, 3348, 3930, 2253, 2400, 7705, 6993, 7322]",10,0.6228676470588235,0.02663422531069388,0.6470588235294118,0.07686274509803921,0.70625,0.05803329731622776,0.6723015873015874,0.11138972623680835,0.5625,0.09833968906013707,0.7222222222222221,0.11817217914205712,0.5965176979882861,0.08694070217775267
xgb,"[1292, 4337, 5590, 3348, 3930, 2253, 2400, 7705, 6993, 7322]",10,0.5844852941176472,0.031847826205651374,0.5470588235294118,0.05170412378875387,0.6104166666666667,0.07186443248491288,0.5135353535353534,0.058853052283508615,0.525,0.11433333333333331,0.5666666666666668,0.07578889169431362,0.51043415476852,0.07826026550335054
xgbrf,"[1292, 4337, 5590, 3348, 3930, 2253, 2400, 7705, 6993, 7322]",10,0.6021323529411765,0.017281369211892755,0.6058823529411764,0.05170412378875387,0.6763888888888888,0.07667995277613533,0.6488492063492064,0.10199672128192835,0.4625,0.08983333333333332,0.7333333333333333,0.11794900202286282,0.516782710753299,0.06640920920236956
