fold,fpr,tpr,auc
1,0.0,0.0,0.7083333333333334
1,0.0,0.125,0.7083333333333334
1,0.0,0.25,0.7083333333333334
1,0.1111111111111111,0.25,0.7083333333333334
1,0.1111111111111111,0.625,0.7083333333333334
1,0.2222222222222222,0.625,0.7083333333333334
1,0.2222222222222222,0.75,0.7083333333333334
1,0.8888888888888888,0.75,0.7083333333333334
1,0.8888888888888888,1.0,0.7083333333333334
1,1.0,1.0,0.7083333333333334
2,0.0,0.0,0.6805555555555556
2,0.0,0.125,0.6805555555555556
2,0.0,0.25,0.6805555555555556
2,0.1111111111111111,0.25,0.6805555555555556
2,0.1111111111111111,0.625,0.6805555555555556
2,0.4444444444444444,0.625,0.6805555555555556
2,0.4444444444444444,0.75,0.6805555555555556
2,0.8888888888888888,0.75,0.6805555555555556
2,0.8888888888888888,1.0,0.6805555555555556
2,1.0,1.0,0.6805555555555556
3,0.0,0.0,0.75
3,0.0,0.125,0.75
3,0.0,0.75,0.75
3,1.0,0.75,0.75
3,1.0,1.0,0.75
4,0.0,0.0,0.65625
4,0.0,0.125,0.65625
4,0.0,0.375,0.65625
4,0.25,0.375,0.65625
4,0.25,0.5,0.65625
4,0.375,0.5,0.65625
4,0.375,0.75,0.65625
4,0.75,0.75,0.65625
4,0.75,0.875,0.65625
4,1.0,0.875,0.65625
4,1.0,1.0,0.65625
5,0.0,0.0,0.6666666666666667
5,0.0,0.14285714285714285,0.6666666666666667
5,0.0,0.2857142857142857,0.6666666666666667
5,0.1111111111111111,0.2857142857142857,0.6666666666666667
5,0.1111111111111111,0.5714285714285714,0.6666666666666667
5,0.4444444444444444,0.5714285714285714,0.6666666666666667
5,0.4444444444444444,0.7142857142857143,0.6666666666666667
5,0.6666666666666666,0.7142857142857143,0.6666666666666667
5,0.6666666666666666,0.8571428571428571,0.6666666666666667
5,1.0,0.8571428571428571,0.6666666666666667
5,1.0,1.0,0.6666666666666667
