fold,fpr,tpr,auc
1,0.0,0.0,0.673611111111111
1,0.0,0.125,0.673611111111111
1,0.0,0.375,0.673611111111111
1,0.1111111111111111,0.375,0.673611111111111
1,0.2222222222222222,0.5,0.673611111111111
1,0.2222222222222222,0.625,0.673611111111111
1,0.4444444444444444,0.625,0.673611111111111
1,0.4444444444444444,0.75,0.673611111111111
1,0.5555555555555556,0.75,0.673611111111111
1,0.7777777777777778,0.75,0.673611111111111
1,0.7777777777777778,0.875,0.673611111111111
1,1.0,0.875,0.673611111111111
1,1.0,1.0,0.673611111111111
2,0.0,0.0,0.7430555555555556
2,0.0,0.125,0.7430555555555556
2,0.0,0.375,0.7430555555555556
2,0.1111111111111111,0.375,0.7430555555555556
2,0.1111111111111111,0.5,0.7430555555555556
2,0.4444444444444444,0.5,0.7430555555555556
2,0.4444444444444444,0.75,0.7430555555555556
2,0.5555555555555556,0.875,0.7430555555555556
2,0.5555555555555556,1.0,0.7430555555555556
2,1.0,1.0,0.7430555555555556
3,0.0,0.0,0.65625
3,0.0,0.125,0.65625
3,0.0,0.375,0.65625
3,0.25,0.375,0.65625
3,0.25,0.5,0.65625
3,0.5,0.5,0.65625
3,0.5,0.625,0.65625
3,0.5,0.875,0.65625
3,1.0,0.875,0.65625
3,1.0,1.0,0.65625
4,0.0,0.0,0.671875
4,0.0,0.125,0.671875
4,0.0,0.375,0.671875
4,0.375,0.375,0.671875
4,0.375,0.5,0.671875
4,0.5,0.5,0.671875
4,0.5,0.875,0.671875
4,0.75,0.875,0.671875
4,0.75,1.0,0.671875
4,1.0,1.0,0.671875
5,0.0,0.0,0.5714285714285714
5,0.0,0.14285714285714285,0.5714285714285714
5,0.0,0.5714285714285714,0.5714285714285714
5,1.0,0.5714285714285714,0.5714285714285714
5,1.0,1.0,0.5714285714285714
