fold,fpr,tpr,auc
1,0.0,0.0,0.6805555555555556
1,0.0,0.125,0.6805555555555556
1,0.0,0.375,0.6805555555555556
1,0.1111111111111111,0.375,0.6805555555555556
1,0.1111111111111111,0.5,0.6805555555555556
1,0.2222222222222222,0.5,0.6805555555555556
1,0.2222222222222222,0.625,0.6805555555555556
1,0.6666666666666666,0.625,0.6805555555555556
1,0.6666666666666666,0.75,0.6805555555555556
1,0.7777777777777778,0.75,0.6805555555555556
1,0.7777777777777778,1.0,0.6805555555555556
1,1.0,1.0,0.6805555555555556
2,0.0,0.0,0.5277777777777778
2,0.0,0.125,0.5277777777777778
2,0.0,0.375,0.5277777777777778
2,0.1111111111111111,0.375,0.5277777777777778
2,0.1111111111111111,0.5,0.5277777777777778
2,0.6666666666666666,0.5,0.5277777777777778
2,0.6666666666666666,0.625,0.5277777777777778
2,1.0,0.625,0.5277777777777778
2,1.0,1.0,0.5277777777777778
3,0.0,0.0,0.640625
3,0.0,0.125,0.640625
3,0.0,0.25,0.640625
3,0.25,0.25,0.640625
3,0.25,0.5,0.640625
3,0.375,0.5,0.640625
3,0.375,0.625,0.640625
3,0.5,0.625,0.640625
3,0.5,0.875,0.640625
3,1.0,0.875,0.640625
3,1.0,1.0,0.640625
4,0.0,0.0,0.5
4,0.0,0.125,0.5
4,0.0,0.375,0.5
4,0.125,0.375,0.5
4,0.125,0.5,0.5
4,0.875,0.5,0.5
4,0.875,0.625,0.5
4,1.0,0.625,0.5
4,1.0,1.0,0.5
5,0.0,0.0,0.7301587301587302
5,0.0,0.14285714285714285,0.7301587301587302
5,0.0,0.42857142857142855,0.7301587301587302
5,0.1111111111111111,0.42857142857142855,0.7301587301587302
5,0.1111111111111111,0.5714285714285714,0.7301587301587302
5,0.2222222222222222,0.5714285714285714,0.7301587301587302
5,0.2222222222222222,0.7142857142857143,0.7301587301587302
5,0.5555555555555556,0.7142857142857143,0.7301587301587302
5,0.5555555555555556,0.8571428571428571,0.7301587301587302
5,1.0,0.8571428571428571,0.7301587301587302
5,1.0,1.0,0.7301587301587302
